iter	F1	Logloss
0	0.5585072443	0.687525676
1	0.6085767452	0.6828821909
2	0.6196555942	0.67892666
3	0.6146539838	0.6757219077
4	0.6153974732	0.6731012492
5	0.6125071909	0.6709472852
6	0.6127605812	0.669105762
7	0.6125759511	0.6675950451
8	0.6130672981	0.666203284
9	0.6127571266	0.6649775118
10	0.6149528012	0.6640634942
11	0.6149507922	0.6632421403
12	0.6147934947	0.6625627087
13	0.6154748603	0.6619206551
14	0.6153072906	0.6615143272
15	0.6167776447	0.6609715931
16	0.6166130179	0.6605401533
17	0.6167516225	0.6601284452
18	0.6166025534	0.6597276123
19	0.6171762903	0.6593543183
20	0.6169857059	0.6590586042
21	0.6168026215	0.6587113312
22	0.6172310091	0.6586481567
23	0.6168818494	0.65839464
24	0.6175466942	0.6581082128
25	0.6174229231	0.6578629328
26	0.6176814662	0.6576954996
27	0.6182536811	0.6574129774
28	0.6188926893	0.6571795076
29	0.6191786916	0.6569205117
30	0.6190800729	0.656737282
31	0.6188807299	0.6565818967
32	0.6193996665	0.6563823324
33	0.6197778365	0.6562266627
34	0.6202181616	0.6561254176
35	0.6204568189	0.6560000217
36	0.6202582672	0.6558409046
37	0.6203980584	0.655726679
38	0.6205601758	0.6556093174
39	0.6202723568	0.6555395274
40	0.6202963066	0.6554652616
41	0.6203999889	0.6553966653
42	0.6203961277	0.6552988865
43	0.6207989766	0.6552605359
44	0.6206206206	0.6552181032
45	0.6207136302	0.6551284101
46	0.620653202	0.6550519251
47	0.6207337943	0.6549477684
48	0.6210187981	0.6548133887
49	0.6211971566	0.6547395521
50	0.6211625934	0.6546817472
51	0.6213305879	0.6545575555
52	0.6211541405	0.6544862255
53	0.6211724752	0.6543910511
54	0.6210467706	0.6543564913
55	0.6209671805	0.6542596832
56	0.6207982169	0.6542377681
57	0.6205791366	0.6541419789
58	0.6210643633	0.6540042562
59	0.6215523486	0.6539411331
60	0.6215971594	0.6538641846
61	0.621507952	0.6538582375
62	0.6215587707	0.6537623451
63	0.6217209691	0.6537605943
64	0.621921508	0.6536585666
65	0.6218695622	0.6536030416
66	0.6220471345	0.6535699665
67	0.6221968569	0.6535365994
68	0.6223057121	0.6534684193
69	0.6222655163	0.6534410844
70	0.6224894568	0.6533742363
71	0.6226509647	0.6533272579
72	0.6229152165	0.6532551295
73	0.6229741019	0.6531835295
74	0.6232047585	0.653097436
75	0.6230997534	0.6530608277
76	0.6231746739	0.652963724
77	0.6231276213	0.6528744847
78	0.6233194477	0.6528091952
79	0.6233299433	0.6527812014
80	0.6235061426	0.6527176745
81	0.6234764803	0.6526742605
82	0.6235843143	0.6526285262
83	0.6236628037	0.6525978182
84	0.6236873625	0.6525825208
85	0.6238284242	0.6524839349
86	0.6237496866	0.6523724384
87	0.6238123102	0.6522811118
88	0.6238174193	0.6522446386
89	0.6238767293	0.6522297907
90	0.6239621064	0.6521987586
91	0.624007356	0.6521042291
92	0.6241553701	0.6520498127
93	0.624237359	0.6519901309
94	0.6243487951	0.6519003105
95	0.624293077	0.6518905517
96	0.6243800502	0.6518146804
97	0.624421909	0.6517499252
98	0.6243312528	0.6516658071
99	0.6247039483	0.6515712804
100	0.6247352581	0.6515112103
101	0.6249686499	0.6514232459
102	0.6251219036	0.6513418508
103	0.6251010115	0.651278335
104	0.6251010115	0.6512783344
105	0.6250174158	0.6512700111
106	0.6251289055	0.6511567866
107	0.6252386061	0.6510440308
108	0.625219451	0.6510254714
109	0.6254998398	0.6509793448
110	0.625705172	0.6509000663
111	0.6259488822	0.6508363987
112	0.625868527	0.6507615636
113	0.6260390126	0.6506986285
114	0.6261571657	0.6506502028
115	0.6258927701	0.6505427022
116	0.6258370808	0.650472577
117	0.626050888	0.6503931931
118	0.6259898958	0.6503442307
119	0.6262055528	0.650311694
120	0.6263776021	0.6502324977
