iter	Passed	Remaining
0	121	60623
1	250	62307
2	361	59919
3	476	59048
4	588	58233
5	712	58666
6	824	58067
7	949	58424
8	1071	58479
9	1191	58405
10	1308	58164
11	1428	58096
12	1548	57998
13	1668	57910
14	1784	57691
15	1903	57582
16	2023	57480
17	2118	56741
18	2238	56659
19	2356	56557
20	2481	56598
21	2595	56401
22	2645	54864
23	2764	54823
24	2879	54711
25	2994	54597
26	3107	54430
27	3227	54409
28	3351	54425
29	3476	54469
30	3594	54374
31	3715	54340
32	3847	54449
33	3962	54303
34	4080	54214
35	4196	54087
36	4324	54108
37	4439	53979
38	4559	53900
39	4677	53795
40	4795	53681
41	4927	53731
42	5059	53775
43	5174	53629
44	5260	53186
45	5373	53037
46	5487	52886
47	5608	52817
48	5742	52850
49	5857	52719
50	5974	52597
51	6100	52559
52	6226	52513
53	6343	52392
54	6456	52242
55	6583	52198
56	6648	51672
57	6767	51570
58	6886	51472
59	7012	51426
60	7132	51329
61	7198	50850
62	7329	50839
63	7379	50269
64	7494	50155
65	7619	50104
66	7751	50094
67	7870	49997
68	7999	49965
69	8120	49885
70	8232	49744
71	8353	49656
72	8482	49617
73	8639	49734
74	8774	49721
75	8901	49662
76	9187	50473
77	9375	50721
78	9509	50675
79	9670	50769
80	9804	50716
81	9954	50743
82	10073	50608
83	10225	50639
84	10369	50626
85	10546	50768
86	10703	50812
87	10836	50736
88	10926	50458
89	11055	50363
90	11185	50273
91	11320	50205
92	11468	50191
93	11602	50111
94	11725	49985
95	11842	49839
96	12012	49905
97	12131	49764
98	12265	49680
99	12396	49584
100	12509	49420
101	12647	49349
102	12766	49207
103	12885	49065
104	12935	48662
105	13045	48489
106	13162	48343
107	13281	48207
108	13395	48050
109	13511	47903
110	13631	47772
111	13745	47617
112	13858	47461
113	13982	47344
114	14110	47240
115	14231	47110
116	14351	46979
117	14479	46873
118	14596	46733
119	14717	46604
120	14836	46469
